名称,大分类,卡路里,碳水化合物,总糖,蛋白质,脂肪,饱和脂肪,单不饱和脂肪,多元不饱和脂肪,总纤维,胆固醇,维生素B6,维生素A,维生素B12,维生素C,维生素D,维生素E,维生素K,硫胺素,核黄素,烟酸,叶酸,泛酸,胆碱,钙,铜,铁,镁,锰,磷,钾,硒,钠,锌
饼干,焙烤食品,4.970000 ,0.661000 ,0.000000 ,0.046000 ,0.252000 ,0.083160 ,0.130770 ,0.026200 ,0.000000 ,0.000000 ,0.000170 ,0.040000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.001950 ,0.002050 ,0.019900 ,0.510000 ,0.001710 ,0.000000 ,0.430000 ,0.003000 ,0.020700 ,0.360000 ,0.003630 ,0.800000 ,2.080000 ,0.024000 ,2.900000 ,0.006000 
蛋糕,焙烤食品,3.710000 ,0.534000 ,0.000000 ,0.053000 ,0.151000 ,0.054300 ,0.060390 ,0.027610 ,0.016000 ,0.580000 ,0.000410 ,1.400000 ,0.001600 ,0.002000 ,0.000000 ,0.000000 ,0.000000 ,0.001410 ,0.002130 ,0.011370 ,0.270000 ,0.003040 ,1.284000 ,0.600000 ,0.002070 ,0.016100 ,0.320000 ,0.002800 ,1.060000 ,1.400000 ,0.119000 ,3.150000 ,0.006900 
巧克力棒,可可制品 / 巧克力 / 糖果,5.180000 ,0.645900 ,0.486800 ,0.065100 ,0.259900 ,0.179530 ,0.058440 ,0.008950 ,0.010000 ,0.110000 ,0.000200 ,0.810000 ,0.005600 ,0.000000 ,0.000000 ,0.003400 ,0.052000 ,0.001170 ,0.002100 ,0.005000 ,0.140000 ,0.006400 ,0.310000 ,1.250000 ,0.002200 ,0.010000 ,0.370000 ,0.001000 ,1.350000 ,2.310000 ,0.050000 ,0.540000 ,0.000900 
糖果,可可制品 / 巧克力 / 糖果,3.940000 ,0.980000 ,0.629000 ,0.000000 ,0.002000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000030 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000040 ,0.000030 ,0.000070 ,0.000000 ,0.000080 ,0.000000 ,0.030000 ,0.000290 ,0.003000 ,0.030000 ,0.000100 ,0.030000 ,0.050000 ,0.006000 ,0.380000 ,0.000100 
奶油果馅饼,焙烤食品,1.450000 ,0.227800 ,0.231500 ,0.045300 ,0.040300 ,0.017990 ,0.012660 ,0.003920 ,0.000000 ,0.900000 ,0.000440 ,1.610000 ,0.003600 ,0.000000 ,0.000000 ,0.002300 ,0.002000 ,0.000320 ,0.002100 ,0.000820 ,0.090000 ,0.005140 ,0.000000 ,0.830000 ,0.000280 ,0.003800 ,0.090000 ,0.000100 ,0.960000 ,1.180000 ,0.087000 ,0.530000 ,0.004700 
蜂蜜,甜味料，包括蜂蜜,3.040000 ,0.824000 ,0.821200 ,0.003000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.002000 ,0.000000 ,0.000240 ,0.000000 ,0.000000 ,0.005000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000380 ,0.001210 ,0.020000 ,0.000680 ,0.022000 ,0.060000 ,0.000360 ,0.004200 ,0.020000 ,0.000800 ,0.040000 ,0.520000 ,0.008000 ,0.040000 ,0.002200 
牛奶,乳与乳制品,0.640000 ,0.046500 ,0.000000 ,0.032800 ,0.036600 ,0.022780 ,0.010570 ,0.001360 ,0.000000 ,0.140000 ,0.000420 ,1.380000 ,0.003600 ,0.015000 ,0.000000 ,0.000000 ,0.000000 ,0.000380 ,0.001610 ,0.000840 ,0.050000 ,0.003130 ,0.000000 ,1.190000 ,0.000100 ,0.000500 ,0.130000 ,0.000040 ,0.930000 ,1.510000 ,0.020000 ,0.490000 ,0.003800 
红茶,饮料类,0.010000 ,0.003000 ,0.000000 ,0.000000 ,0.000000 ,0.000020 ,0.000010 ,0.000040 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000140 ,0.000000 ,0.050000 ,0.000110 ,0.004000 ,0.000000 ,0.000100 ,0.000200 ,0.030000 ,0.002190 ,0.010000 ,0.370000 ,0.000000 ,0.030000 ,0.000200 
可乐,饮料类,1.340000 ,0.050000 ,0.000000 ,0.005000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.050000 ,0.000090 ,0.001000 ,0.060000 ,0.000000 ,0.060000 ,0.250000 ,0.014000 ,0.020000 ,0.000200 
香槟,酒类,0.840000 ,0.021600 ,0.009600 ,0.000700 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000500 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000050 ,0.000150 ,0.001080 ,0.010000 ,0.000450 ,0.000000 ,0.090000 ,0.000040 ,0.002700 ,0.100000 ,0.001170 ,0.180000 ,0.710000 ,0.001000 ,0.050000 ,0.001200 
红酒,酒类,0.850000 ,0.026100 ,0.006200 ,0.000700 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000570 ,0.020000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.004000 ,0.000050 ,0.000310 ,0.002240 ,0.010000 ,0.000300 ,0.057000 ,0.080000 ,0.000110 ,0.004600 ,0.120000 ,0.001320 ,0.230000 ,1.270000 ,0.002000 ,0.040000 ,0.001400 
啤酒,酒类,0.430000 ,0.035500 ,0.000000 ,0.004600 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000460 ,0.000000 ,0.000200 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000050 ,0.000250 ,0.005130 ,0.060000 ,0.000410 ,0.101000 ,0.040000 ,0.000050 ,0.000200 ,0.060000 ,0.000080 ,0.140000 ,0.270000 ,0.006000 ,0.040000 ,0.000100 
