name,iso_a3,currency_code,local_price,dollar_ex,date
Euro area,EUZ,EUR,3.437660401,0.697520315,2011/7/1
Finland,FIN,EUR,3.75,0.697520315,2011/7/1
France,FRA,EUR,3.5,0.697520315,2011/7/1
Germany,DEU,EUR,3.4,0.697520315,2011/7/1
Greece,GRC,EUR,3.26,0.697520315,2011/7/1
Hong Kong,HKG,HKD,15.1,7.7918,2011/7/1
Hungary,HUN,HUF,760.0,188.0724,2011/7/1
India,IND,INR,84.0,44.4,2011/7/1
Indonesia,IDN,IDR,22534.0,8523.0,2011/7/1
Ireland,IRL,EUR,3.8,0.697520315,2011/7/1
Israel,ISR,ILS,15.9,3.40335,2011/7/1
Italy,ITA,EUR,3.5,0.697520315,2011/7/1
Japan,JPN,JPY,320.0,78.365,2011/7/1
Malaysia,MYS,MYR,7.2,2.9730000000000003,2011/7/1
Mexico,MEX,MXN,32.0,11.67075,2011/7/1
Netherlands,NLD,EUR,3.25,0.697520315,2011/7/1
New Zealand,NZL,NZD,5.1,1.1560693640000002,2011/7/1
Norway,NOR,NOK,45.0,5.41405,2011/7/1
Pakistan,PAK,PKR,205.13,86.345,2011/7/1
Peru,PER,PEN,10.0,2.7375,2011/7/1
Philippines,PHL,PHP,118.0,42.41,2011/7/1
Poland,POL,PLN,8.63,2.7968,2011/7/1
Portugal,PRT,EUR,2.9,0.697520315,2011/7/1
Russia,RUS,RUB,75.0,27.7525,2011/7/1
Saudi Arabia,SAU,SAR,10.0,3.7502,2011/7/1
Singapore,SGP,SGD,4.41,1.20705,2011/7/1
South Africa,ZAF,ZAR,19.45,6.76885,2011/7/1
South Korea,KOR,KRW,3700.0,1056.2,2011/7/1
Spain,ESP,EUR,3.5,0.697520315,2011/7/1
Sri Lanka,LKA,LKR,280.0,109.475,2011/7/1
Sweden,SWE,SEK,48.4,6.3352,2011/7/1
Switzerland,CHE,CHF,6.5,0.80615,2011/7/1
Taiwan,TWN,TWD,75.0,28.834,2011/7/1
Thailand,THA,THB,70.0,29.75,2011/7/1
Turkey,TUR,TRY,6.5,1.72285,2011/7/1
UAE,ARE,AED,12.0,3.67305,2011/7/1
Ukraine,UKR,UAH,16.5,7.994,2011/7/1
United States,USA,USD,4.065,1.0,2011/7/1
Uruguay,URY,UYU,90.0,18.45,2011/7/1
Venezuela,VEN,VEF,28.0,4.29465,2011/7/1
Argentina,ARG,ARS,20.0,4.3135,2012/1/1
Australia,AUS,AUD,4.8,0.972337012,2012/1/1
Austria,AUT,EUR,3.09,0.788239467,2012/1/1
Belgium,BEL,EUR,3.7,0.788239467,2012/1/1
Brazil,BRA,BRL,10.25,1.805,2012/1/1
Britain,GBR,GBP,2.49,0.651253663,2012/1/1
Canada,CAN,CAD,4.73,1.02095,2012/1/1
Chile,CHL,CLP,2050.0,506.05,2012/1/1
China,CHN,CNY,15.4,6.3155,2012/1/1
Colombia,COL,COP,8400.0,1852.15,2012/1/1
Costa Rica,CRI,CRC,2050.0,509.54,2012/1/1
Czech Republic,CZE,CZK,70.22,20.36535,2012/1/1
Denmark,DNK,DKK,31.5,5.86135,2012/1/1
Egypt,EGY,EGP,15.5,6.037000000000001,2012/1/1
Estonia,EST,EUR,2.04,0.788239467,2012/1/1
Euro area,EUZ,EUR,3.49245637,0.788239467,2012/1/1
Finland,FIN,EUR,3.75,0.788239467,2012/1/1
France,FRA,EUR,3.6,0.788239467,2012/1/1
Germany,DEU,EUR,3.53,0.788239467,2012/1/1
Greece,GRC,EUR,3.3,0.788239467,2012/1/1
Hong Kong,HKG,HKD,16.5,7.76735,2012/1/1
Hungary,HUN,HUF,645.0,245.69425,2012/1/1
India,IND,INR,84.0,51.905,2012/1/1
Indonesia,IDN,IDR,22534.0,9160.0,2012/1/1
Ireland,IRL,EUR,3.8,0.788239467,2012/1/1
Israel,ISR,ILS,15.9,3.8485,2012/1/1
Italy,ITA,EUR,3.5,0.788239467,2012/1/1
Japan,JPN,JPY,320.0,76.92,2012/1/1
Malaysia,MYS,MYR,7.35,3.13955,2012/1/1
Mexico,MEX,MXN,37.0,13.6844,2012/1/1
Netherlands,NLD,EUR,3.25,0.788239467,2012/1/1
New Zealand,NZL,NZD,5.1,1.26000126,2012/1/1
Norway,NOR,NOK,41.0,6.0399,2012/1/1
Philippines,PHL,PHP,118.0,44.005,2012/1/1
Poland,POL,PLN,9.1,3.52045,2012/1/1
Portugal,PRT,EUR,2.9,0.788239467,2012/1/1
Russia,RUS,RUB,81.0,31.7693,2012/1/1
Saudi Arabia,SAU,SAR,10.0,3.7502,2012/1/1
Singapore,SGP,SGD,4.85,1.2928,2012/1/1
South Africa,ZAF,ZAR,19.95,8.1304,2012/1/1
South Korea,KOR,KRW,3700.0,1158.75,2012/1/1
Spain,ESP,EUR,3.5,0.788239467,2012/1/1
Sri Lanka,LKA,LKR,290.0,113.93,2012/1/1
Sweden,SWE,SEK,41.0,6.9338,2012/1/1
Switzerland,CHE,CHF,6.5,0.9551,2012/1/1
Taiwan,TWN,TWD,75.0,29.9795,2012/1/1
Thailand,THA,THB,78.0,31.75,2012/1/1
Turkey,TUR,TRY,6.6,1.86295,2012/1/1
UAE,ARE,AED,12.0,3.673,2012/1/1
Ukraine,UKR,UAH,17.0,8.0405,2012/1/1
United States,USA,USD,4.19722,1.0,2012/1/1
Uruguay,URY,UYU,90.0,19.45,2012/1/1
Venezuela,VEN,VEF,30.0,4.29465,2012/1/1
Argentina,ARG,ARS,19.0,4.56625,2012/7/1
Australia,AUS,AUD,4.56,0.9743264970000001,2012/7/1
Austria,AUT,EUR,3.19,0.8248443109999999,2012/7/1
Belgium,BEL,EUR,3.8,0.8248443109999999,2012/7/1
Brazil,BRA,BRL,10.08,2.04215,2012/7/1
Britain,GBR,GBP,2.69,0.646266197,2012/7/1
Canada,CAN,CAD,5.12,1.01945,2012/7/1
Chile,CHL,CLP,2050.0,493.05,2012/7/1
China,CHN,CNY,15.65,6.3885,2012/7/1
Colombia,COL,COP,8600.0,1804.475,2012/7/1
Czech Republic,CZE,CZK,70.33,21.048000000000002,2012/7/1
Denmark,DNK,DKK,28.5,6.1356,2012/7/1
Egypt,EGY,EGP,16.0,6.0665,2012/7/1
Estonia,EST,EUR,2.04,0.8248443109999999,2012/7/1
Euro area,EUZ,EUR,3.5834822410000005,0.8248443109999999,2012/7/1
Finland,FIN,EUR,3.75,0.8248443109999999,2012/7/1
France,FRA,EUR,3.6,0.8248443109999999,2012/7/1
Germany,DEU,EUR,3.64,0.8248443109999999,2012/7/1
Greece,GRC,EUR,2.6830000000000003,0.8248443109999999,2012/7/1
Hong Kong,HKG,HKD,16.5,7.75815,2012/7/1
Hungary,HUN,HUF,830.0,238.2151,2012/7/1
India,IND,INR,89.0,56.165,2012/7/1
Indonesia,IDN,IDR,24200.0,9482.5,2012/7/1
Ireland,IRL,EUR,3.49,0.8248443109999999,2012/7/1
Israel,ISR,ILS,11.9,4.07625,2012/7/1
Italy,ITA,EUR,3.6,0.8248443109999999,2012/7/1
Japan,JPN,JPY,320.0,78.22,2012/7/1
Malaysia,MYS,MYR,7.4,3.1735,2012/7/1
Mexico,MEX,MXN,37.0,13.687000000000001,2012/7/1
Netherlands,NLD,EUR,3.38,0.8248443109999999,2012/7/1
New Zealand,NZL,NZD,5.1,1.273560876,2012/7/1
Norway,NOR,NOK,43.0,6.09205,2012/7/1
Pakistan,PAK,PKR,285.0,94.605,2012/7/1
Philippines,PHL,PHP,118.0,42.2,2012/7/1
Poland,POL,PLN,9.1,3.46035,2012/7/1
Portugal,PRT,EUR,4.95,0.8248443109999999,2012/7/1
Russia,RUS,RUB,75.0,32.76525,2012/7/1
Saudi Arabia,SAU,SAR,10.0,3.75025,2012/7/1
Singapore,SGP,SGD,4.4,1.2585,2012/7/1
South Africa,ZAF,ZAR,19.95,8.4683,2012/7/1
South Korea,KOR,KRW,3700.0,1151.0,2012/7/1
Spain,ESP,EUR,3.5,0.8248443109999999,2012/7/1
Sri Lanka,LKA,LKR,290.0,131.0,2012/7/1
Sweden,SWE,SEK,39.97301987,6.9777,2012/7/1
Switzerland,CHE,CHF,6.5,0.9906,2012/7/1
Taiwan,TWN,TWD,75.0,30.1955,2012/7/1
Thailand,THA,THB,82.0,31.7,2012/7/1
Turkey,TUR,TRY,8.25,1.8269,2012/7/1
UAE,ARE,AED,12.0,3.67295,2012/7/1
Ukraine,UKR,UAH,15.0,8.0855,2012/7/1
United States,USA,USD,4.3275,1.0,2012/7/1
Uruguay,URY,UYU,99.0,21.87,2012/7/1
Venezuela,VEN,VEF,34.0,4.29465,2012/7/1
Argentina,ARG,ARS,19.0,4.9765,2013/1/1
Australia,AUS,AUD,4.7,0.959094615,2013/1/1
Austria,AUT,EUR,3.39,0.7369468290000001,2013/1/1
Belgium,BEL,EUR,3.8,0.7369468290000001,2013/1/1
Brazil,BRA,BRL,11.25,1.99335,2013/1/1
Britain,GBR,GBP,2.69,0.633211968,2013/1/1
Canada,CAN,CAD,5.41,1.0029,2013/1/1
Chile,CHL,CLP,2050.0,471.75,2013/1/1
China,CHN,CNY,16.0,6.2204,2013/1/1
Czech Republic,CZE,CZK,70.33,18.89495,2013/1/1
Denmark,DNK,DKK,28.5,5.49795,2013/1/1
Egypt,EGY,EGP,16.0,6.68575,2013/1/1
Estonia,EST,EUR,2.7,0.7369468290000001,2013/1/1
Euro area,EUZ,EUR,3.5948495719999998,0.7369468290000001,2013/1/1
Finland,FIN,EUR,3.75,0.7369468290000001,2013/1/1
France,FRA,EUR,3.6,0.7369468290000001,2013/1/1
Germany,DEU,EUR,3.64,0.7369468290000001,2013/1/1
Greece,GRC,EUR,3.3,0.7369468290000001,2013/1/1
Hong Kong,HKG,HKD,17.0,7.7591,2013/1/1
Hungary,HUN,HUF,830.0,217.46935,2013/1/1
India,IND,INR,89.0,53.395,2013/1/1
Indonesia,IDN,IDR,27939.0,9767.5,2013/1/1
Ireland,IRL,EUR,3.49,0.7369468290000001,2013/1/1
Israel,ISR,ILS,14.9,3.72455,2013/1/1
Italy,ITA,EUR,3.85,0.7369468290000001,2013/1/1
Japan,JPN,JPY,320.0,91.065,2013/1/1
Malaysia,MYS,MYR,7.95,3.083,2013/1/1
Mexico,MEX,MXN,37.0,12.7384,2013/1/1
Netherlands,NLD,EUR,3.45,0.7369468290000001,2013/1/1
New Zealand,NZL,NZD,5.2,1.202428906,2013/1/1
Norway,NOR,NOK,43.0,5.4831,2013/1/1
Pakistan,PAK,PKR,290.0,97.665,2013/1/1
Peru,PER,PEN,10.0,2.5595,2013/1/1
Philippines,PHL,PHP,118.0,40.6,2013/1/1
Poland,POL,PLN,9.1,3.092,2013/1/1
Portugal,PRT,EUR,2.95,0.7369468290000001,2013/1/1
Russia,RUS,RUB,72.88,30.045,2013/1/1
Saudi Arabia,SAU,SAR,11.0,3.7502,2013/1/1
Singapore,SGP,SGD,4.5,1.23485,2013/1/1
South Africa,ZAF,ZAR,20.9,9.047,2013/1/1
South Korea,KOR,KRW,3700.0,1085.475,2013/1/1
Spain,ESP,EUR,3.5,0.7369468290000001,2013/1/1
Sri Lanka,LKA,LKR,350.0,126.45,2013/1/1
Sweden,SWE,SEK,40.55930138,6.3492,2013/1/1
Switzerland,CHE,CHF,6.5,0.9123,2013/1/1
Taiwan,TWN,TWD,75.0,29.502,2013/1/1
Thailand,THA,THB,87.0,29.755,2013/1/1
Turkey,TUR,TRY,8.45,1.76875,2013/1/1
UAE,ARE,AED,12.0,3.67305,2013/1/1
Ukraine,UKR,UAH,19.0,8.144,2013/1/1
United States,USA,USD,4.367395833,1.0,2013/1/1
Uruguay,URY,UYU,105.0,19.28,2013/1/1
Venezuela,VEN,VEF,39.0,4.29465,2013/1/1
Argentina,ARG,ARS,21.0,5.4125,2013/7/1
Australia,AUS,AUD,5.035,1.089858863,2013/7/1
Austria,AUT,EUR,3.39,0.777756173,2013/7/1
Belgium,BEL,EUR,3.7,0.777756173,2013/7/1
Brazil,BRA,BRL,12.0,2.27065,2013/7/1
Britain,GBR,GBP,2.69,0.669142494,2013/7/1
Canada,CAN,CAD,5.53,1.05125,2013/7/1
Chile,CHL,CLP,2000.0,508.155,2013/7/1
China,CHN,CNY,16.0,6.1341,2013/7/1
Colombia,COL,COP,8600.0,1921.0,2013/7/1
Costa Rica,CRI,CRC,2150.0,498.675,2013/7/1
Czech Republic,CZE,CZK,70.45,20.1828,2013/7/1
Denmark,DNK,DKK,28.5,5.8006,2013/7/1
Egypt,EGY,EGP,16.75,7.00915,2013/7/1
Estonia,EST,EUR,2.75,0.777756173,2013/7/1
Euro area,EUZ,EUR,3.6238704889999998,0.777756173,2013/7/1
Finland,FIN,EUR,4.1,0.777756173,2013/7/1
France,FRA,EUR,3.9,0.777756173,2013/7/1
Germany,DEU,EUR,3.64,0.777756173,2013/7/1
Greece,GRC,EUR,2.6,0.777756173,2013/7/1
Hong Kong,HKG,HKD,17.0,7.75665,2013/7/1
Hungary,HUN,HUF,860.0,228.46200000000002,2013/7/1
India,IND,INR,90.0,59.98,2013/7/1
Indonesia,IDN,IDR,27939.0,9965.0,2013/7/1
Ireland,IRL,EUR,3.46,0.777756173,2013/7/1
Israel,ISR,ILS,17.5,3.64595,2013/7/1
Italy,ITA,EUR,3.75,0.777756173,2013/7/1
Japan,JPN,JPY,320.0,100.105,2013/7/1
Malaysia,MYS,MYR,7.3,3.1805,2013/7/1
Mexico,MEX,MXN,37.0,12.94115,2013/7/1
Netherlands,NLD,EUR,3.45,0.777756173,2013/7/1
New Zealand,NZL,NZD,5.5,1.279344975,2013/7/1
Norway,NOR,NOK,46.0,6.1281,2013/7/1
Pakistan,PAK,PKR,300.0,100.035,2013/7/1
Peru,PER,PEN,10.0,2.783,2013/7/1
Philippines,PHL,PHP,115.21,43.44,2013/7/1
Poland,POL,PLN,9.2,3.3655,2013/7/1
Portugal,PRT,EUR,2.95,0.777756173,2013/7/1
Russia,RUS,RUB,87.0,32.9389,2013/7/1
Saudi Arabia,SAU,SAR,10.0,3.7502,2013/7/1
Singapore,SGP,SGD,4.7,1.2747,2013/7/1
South Africa,ZAF,ZAR,22.5,10.04725,2013/7/1
South Korea,KOR,KRW,3900.0,1135.7,2013/7/1
Spain,ESP,EUR,3.5,0.777756173,2013/7/1
Sri Lanka,LKA,LKR,370.0,130.8,2013/7/1
Sweden,SWE,SEK,41.61,6.7583,2013/7/1
Switzerland,CHE,CHF,6.5,0.9674,2013/7/1
Taiwan,TWN,TWD,79.0,30.0285,2013/7/1
Thailand,THA,THB,89.0,31.275,2013/7/1
Turkey,TUR,TRY,8.5,1.95745,2013/7/1
UAE,ARE,AED,12.0,3.673,2013/7/1
Ukraine,UKR,UAH,19.0,8.155,2013/7/1
United States,USA,USD,4.556666667,1.0,2013/7/1
Uruguay,URY,UYU,105.0,21.085,2013/7/1
Venezuela,VEN,VEF,45.0,6.2921,2013/7/1
Argentina,ARG,ARS,21.0,6.92125,2014/1/1
Australia,AUS,AUD,5.05,1.128859288,2014/1/1
Austria,AUT,EUR,3.39,0.737218475,2014/1/1
Belgium,BEL,EUR,3.95,0.737218475,2014/1/1
Brazil,BRA,BRL,12.4,2.36305,2014/1/1
Britain,GBR,GBP,2.79,0.603009015,2014/1/1
Canada,CAN,CAD,5.54,1.1051,2014/1/1
Chile,CHL,CLP,2000.0,541.95,2014/1/1
China,CHN,CNY,16.6,6.0513,2014/1/1
Colombia,COL,COP,8600.0,1982.795,2014/1/1
Costa Rica,CRI,CRC,2150.0,501.92,2014/1/1
Czech Republic,CZE,CZK,70.45,20.2838,2014/1/1
Denmark,DNK,DKK,28.5,5.5014,2014/1/1
Egypt,EGY,EGP,16.93,6.961,2014/1/1
Estonia,EST,EUR,2.8,0.737218475,2014/1/1
Euro area,EUZ,EUR,3.657962724,0.737218475,2014/1/1
Finland,FIN,EUR,4.1,0.737218475,2014/1/1
France,FRA,EUR,3.8,0.737218475,2014/1/1
Germany,DEU,EUR,3.67,0.737218475,2014/1/1
Greece,GRC,EUR,3.05,0.737218475,2014/1/1
Hong Kong,HKG,HKD,18.0,7.75785,2014/1/1
Hungary,HUN,HUF,860.0,223.09705,2014/1/1
India,IND,INR,95.0,61.845,2014/1/1
Indonesia,IDN,IDR,27939.0,12140.0,2014/1/1
Ireland,IRL,EUR,3.46,0.737218475,2014/1/1
Israel,ISR,ILS,17.5,3.4882,2014/1/1
Italy,ITA,EUR,3.85,0.737218475,2014/1/1
Japan,JPN,JPY,310.0,104.245,2014/1/1
Lithuania,LTU,EUR,8.8,2.5454,2014/1/1
Malaysia,MYS,MYR,7.4,3.3235,2014/1/1
Mexico,MEX,MXN,37.0,13.33275,2014/1/1
Netherlands,NLD,EUR,3.45,0.737218475,2014/1/1
New Zealand,NZL,NZD,5.5,1.203007519,2014/1/1
Norway,NOR,NOK,48.0,6.15745,2014/1/1
Pakistan,PAK,PKR,320.0,105.415,2014/1/1
Peru,PER,PEN,10.0,2.8065,2014/1/1
Philippines,PHL,PHP,135.0,45.23,2014/1/1
Poland,POL,PLN,9.2,3.0684,2014/1/1
Portugal,PRT,EUR,3.0,0.737218475,2014/1/1
Russia,RUS,RUB,89.0,33.93925,2014/1/1
Saudi Arabia,SAU,SAR,11.0,3.7504,2014/1/1
Singapore,SGP,SGD,4.6,1.27885,2014/1/1
South Africa,ZAF,ZAR,23.5,10.87765,2014/1/1
South Korea,KOR,KRW,3700.0,1067.3,2014/1/1
Spain,ESP,EUR,3.65,0.737218475,2014/1/1
Sri Lanka,LKA,LKR,350.0,130.8,2014/1/1
Sweden,SWE,SEK,40.7,6.47315,2014/1/1
Switzerland,CHE,CHF,6.5,0.91005,2014/1/1
Taiwan,TWN,TWD,79.0,30.160999999999998,2014/1/1
UAE,ARE,AED,12.0,3.673,2014/1/1
Ukraine,UKR,UAH,19.0,8.379,2014/1/1
United States,USA,USD,4.624166667,1.0,2014/1/1
Uruguay,URY,UYU,105.0,21.38,2014/1/1
Venezuela,VEN,VEF,45.0,6.2921,2014/1/1
Argentina,ARG,ARS,21.0,8.16875,2014/7/1
Australia,AUS,AUD,5.1,1.059378145,2014/7/1
Austria,AUT,EUR,3.39,0.7427489140000001,2014/7/1
Belgium,BEL,EUR,3.7,0.7427489140000001,2014/7/1
Brazil,BRA,BRL,13.0,2.22025,2014/7/1
Britain,GBR,GBP,2.89,0.586785589,2014/7/1
Canada,CAN,CAD,5.64,1.07405,2014/7/1
Chile,CHL,CLP,2100.0,564.14,2014/7/1
China,CHN,CNY,16.9,6.1983,2014/7/1
Colombia,COL,COP,8600.0,1847.65,2014/7/1
Costa Rica,CRI,CRC,2150.0,537.3,2014/7/1
Czech Republic,CZE,CZK,70.45,20.3877,2014/7/1
Denmark,DNK,DKK,28.5,5.5388,2014/7/1
Egypt,EGY,EGP,16.93,7.15005,2014/7/1
Estonia,EST,EUR,2.9,0.7427489140000001,2014/7/1
Euro area,EUZ,EUR,3.67923829,0.7427489140000001,2014/7/1
Finland,FIN,EUR,4.1,0.7427489140000001,2014/7/1
France,FRA,EUR,3.9,0.7427489140000001,2014/7/1
Germany,DEU,EUR,3.67,0.7427489140000001,2014/7/1
Greece,GRC,EUR,3.05,0.7427489140000001,2014/7/1
Hong Kong,HKG,HKD,18.8,7.75045,2014/7/1
Hungary,HUN,HUF,860.0,228.30615,2014/7/1
India,IND,INR,105.0,60.08875,2014/7/1
Indonesia,IDN,IDR,27939.0,11505.0,2014/7/1
Ireland,IRL,EUR,3.49,0.7427489140000001,2014/7/1
Israel,ISR,ILS,17.5,3.4138,2014/7/1
Italy,ITA,EUR,3.85,0.7427489140000001,2014/7/1
Japan,JPN,JPY,370.0,101.53,2014/7/1
Lithuania,LTU,EUR,8.95,2.56455,2014/7/1
Malaysia,MYS,MYR,7.63,3.1675,2014/7/1
Mexico,MEX,MXN,42.0,12.93255,2014/7/1
Netherlands,NLD,EUR,3.45,0.7427489140000001,2014/7/1
New Zealand,NZL,NZD,5.7,1.152737752,2014/7/1
Norway,NOR,NOK,48.0,6.1873,2014/7/1
Pakistan,PAK,PKR,300.0,98.68,2014/7/1
Peru,PER,PEN,10.0,2.7880000000000003,2014/7/1
Philippines,PHL,PHP,160.0,43.205,2014/7/1
Poland,POL,PLN,9.2,3.0714,2014/7/1
Portugal,PRT,EUR,3.0,0.7427489140000001,2014/7/1
Russia,RUS,RUB,89.0,34.83725,2014/7/1
Saudi Arabia,SAU,SAR,11.0,3.75035,2014/7/1
Singapore,SGP,SGD,4.7,1.238,2014/7/1
South Africa,ZAF,ZAR,24.5,10.5145,2014/7/1
South Korea,KOR,KRW,4100.0,1023.75,2014/7/1
Spain,ESP,EUR,3.65,0.7427489140000001,2014/7/1
Sri Lanka,LKA,LKR,350.0,130.255,2014/7/1
Sweden,SWE,SEK,40.7,6.836,2014/7/1
Switzerland,CHE,CHF,6.16,0.9024,2014/7/1
Taiwan,TWN,TWD,79.0,29.982,2014/7/1
Thailand,THA,THB,99.0,31.78,2014/7/1
Turkey,TUR,TRY,9.25,2.09125,2014/7/1
UAE,ARE,AED,13.0,3.67305,2014/7/1
Ukraine,UKR,UAH,19.0,11.685,2014/7/1
United States,USA,USD,4.795,1.0,2014/7/1
Uruguay,URY,UYU,113.0,22.97,2014/7/1
Venezuela,VEN,VEF,75.0,11.0,2014/7/1
Vietnam,VNM,VND,60000.0,21230.0,2014/7/1
Argentina,ARG,ARS,28.0,8.61,2015/1/1
Australia,AUS,AUD,5.3,1.227219734,2015/1/1
Austria,AUT,EUR,3.39,0.8630734040000001,2015/1/1
Belgium,BEL,EUR,3.7,0.8630734040000001,2015/1/1
Brazil,BRA,BRL,13.5,2.59275,2015/1/1
Britain,GBR,GBP,2.89,0.6615944429999999,2015/1/1
Canada,CAN,CAD,5.7,1.22855,2015/1/1
Chile,CHL,CLP,2100.0,627.485,2015/1/1
China,CHN,CNY,17.2,6.2115,2015/1/1
Colombia,COL,COP,7900.0,2364.98,2015/1/1
Costa Rica,CRI,CRC,2150.0,536.09,2015/1/1
Czech Republic,CZE,CZK,70.45,24.13325,2015/1/1
Denmark,DNK,DKK,34.5,6.4174,2015/1/1
Egypt,EGY,EGP,16.93,7.35005,2015/1/1
Estonia,EST,EUR,2.9,0.8630734040000001,2015/1/1
Euro area,EUZ,EUR,3.68,0.8630734040000001,2015/1/1
Finland,FIN,EUR,4.1,0.8630734040000001,2015/1/1
France,FRA,EUR,3.9,0.8630734040000001,2015/1/1
Germany,DEU,EUR,3.67,0.8630734040000001,2015/1/1
Greece,GRC,EUR,3.05,0.8630734040000001,2015/1/1
Hong Kong,HKG,HKD,18.8,7.75135,2015/1/1
Hungary,HUN,HUF,860.0,271.39345,2015/1/1
India,IND,INR,116.25,61.615,2015/1/1
Indonesia,IDN,IDR,27939.0,12480.0,2015/1/1
Ireland,IRL,EUR,3.49,0.8630734040000001,2015/1/1
Israel,ISR,ILS,17.5,3.93415,2015/1/1
Italy,ITA,EUR,3.85,0.8630734040000001,2015/1/1
Japan,JPN,JPY,370.0,117.765,2015/1/1
Malaysia,MYS,MYR,7.63,3.6155,2015/1/1
Mexico,MEX,MXN,49.0,14.6275,2015/1/1
Netherlands,NLD,EUR,3.45,0.8630734040000001,2015/1/1
New Zealand,NZL,NZD,5.9,1.313283866,2015/1/1
Norway,NOR,NOK,48.0,7.6225,2015/1/1
Pakistan,PAK,PKR,300.0,100.735,2015/1/1
Peru,PER,PEN,10.0,3.008,2015/1/1
Philippines,PHL,PHP,163.0,44.41,2015/1/1
Poland,POL,PLN,9.2,3.7066,2015/1/1
Portugal,PRT,EUR,3.0,0.8630734040000001,2015/1/1
Russia,RUS,RUB,89.0,65.227,2015/1/1
Saudi Arabia,SAU,SAR,11.0,3.7569,2015/1/1
Singapore,SGP,SGD,4.7,1.33315,2015/1/1
South Africa,ZAF,ZAR,25.5,11.47875,2015/1/1
South Korea,KOR,KRW,4100.0,1083.3,2015/1/1
Spain,ESP,EUR,3.65,0.8630734040000001,2015/1/1
Sri Lanka,LKA,LKR,350.0,131.875,2015/1/1
Sweden,SWE,SEK,40.7,8.19145,2015/1/1
Switzerland,CHE,CHF,6.5,0.86165,2015/1/1
Taiwan,TWN,TWD,79.0,31.493000000000002,2015/1/1
Thailand,THA,THB,99.0,32.605,2015/1/1
Turkey,TUR,TRY,9.25,2.33345,2015/1/1
UAE,ARE,AED,13.0,3.67305,2015/1/1
Ukraine,UKR,UAH,19.0,15.822000000000001,2015/1/1
United States,USA,USD,4.79,1.0,2015/1/1
Uruguay,URY,UYU,113.0,24.425,2015/1/1
Venezuela,VEN,VEF,132.0,52.1021,2015/1/1
Vietnam,VNM,VND,60000.0,21380.0,2015/1/1
Argentina,ARG,ARS,28.0,9.135,2015/7/1
Australia,AUS,AUD,5.3,1.35126005,2015/7/1
Austria,AUT,EUR,3.39,0.9127002240000001,2015/7/1
Belgium,BEL,EUR,3.7,0.9127002240000001,2015/7/1
Brazil,BRA,BRL,13.5,3.15235,2015/7/1
Britain,GBR,GBP,2.89,0.640450877,2015/7/1
Canada,CAN,CAD,5.85,1.2897,2015/7/1
Chile,CHL,CLP,2100.0,642.45,2015/7/1
China,CHN,CNY,17.0,6.2092,2015/7/1
Colombia,COL,COP,7900.0,2708.9,2015/7/1
Costa Rica,CRI,CRC,2150.0,533.3,2015/7/1
Czech Republic,CZE,CZK,70.0,24.70225,2015/7/1
Denmark,DNK,DKK,34.59,6.81105,2015/7/1
Egypt,EGY,EGP,16.93,7.83005,2015/7/1
Estonia,EST,EUR,2.95,0.9127002240000001,2015/7/1
Euro area,EUZ,EUR,3.7,0.9127002240000001,2015/7/1
Finland,FIN,EUR,4.1,0.9127002240000001,2015/7/1
France,FRA,EUR,4.1,0.9127002240000001,2015/7/1
Germany,DEU,EUR,3.59,0.9127002240000001,2015/7/1
Greece,GRC,EUR,3.05,0.9127002240000001,2015/7/1
Hong Kong,HKG,HKD,19.2,7.7508,2015/7/1
Hungary,HUN,HUF,900.0,282.8778,2015/7/1
India,IND,INR,116.25,63.43,2015/7/1
Indonesia,IDN,IDR,30500.0,13344.5,2015/7/1
Ireland,IRL,EUR,3.7,0.9127002240000001,2015/7/1
Israel,ISR,ILS,17.5,3.77835,2015/7/1
Italy,ITA,EUR,4.0,0.9127002240000001,2015/7/1
Japan,JPN,JPY,370.0,123.935,2015/7/1
Malaysia,MYS,MYR,7.65,3.8065,2015/7/1
Mexico,MEX,MXN,49.0,15.73975,2015/7/1
Netherlands,NLD,EUR,3.45,0.9127002240000001,2015/7/1
New Zealand,NZL,NZD,5.9,1.509092281,2015/7/1
Norway,NOR,NOK,46.0,8.14255,2015/7/1
Pakistan,PAK,PKR,350.0,101.7,2015/7/1
Peru,PER,PEN,10.0,3.1835,2015/7/1
Philippines,PHL,PHP,163.0,45.2125,2015/7/1
Poland,POL,PLN,9.6,3.7736,2015/7/1
Portugal,PRT,EUR,3.0,0.9127002240000001,2015/7/1
Russia,RUS,RUB,107.0,56.815,2015/7/1
Saudi Arabia,SAU,SAR,12.0,3.75055,2015/7/1
Singapore,SGP,SGD,4.7,1.3664,2015/7/1
South Africa,ZAF,ZAR,26.0,12.41455,2015/7/1
South Korea,KOR,KRW,4300.0,1143.5,2015/7/1
Spain,ESP,EUR,3.65,0.9127002240000001,2015/7/1
Sri Lanka,LKA,LKR,350.0,133.85,2015/7/1
Sweden,SWE,SEK,43.7,8.52265,2015/7/1
Switzerland,CHE,CHF,6.5,0.9528,2015/7/1
Taiwan,TWN,TWD,79.0,31.02,2015/7/1
Thailand,THA,THB,108.0,34.0875,2015/7/1
Turkey,TUR,TRY,10.25,2.6457,2015/7/1
UAE,ARE,AED,13.0,3.67295,2015/7/1
Ukraine,UKR,UAH,34.0,21.95,2015/7/1
United States,USA,USD,4.79,1.0,2015/7/1
