name,iso_a3,currency_code,local_price,dollar_ex,date
Colombia,COL,COP,6500.0,2769.83,2004/5/1
Costa Rica,CRI,CRC,1130.0,433.55,2004/5/1
Czech Republic,CZE,CZK,56.42,26.5,2004/5/1
Denmark,DNK,DKK,27.75,6.22,2004/5/1
Egypt,EGY,EGP,10.0,6.19,2004/5/1
Euro area,EUZ,EUR,2.74,0.833333333,2004/5/1
Hong Kong,HKG,HKD,12.0,7.79,2004/5/1
Hungary,HUN,HUF,530.0,211.0,2004/5/1
New Zealand,NZL,NZD,4.35,1.64,2004/5/1
Norway,NOR,NOK,35.5,6.8491,2004/5/1
Pakistan,PAK,PKR,110.0,57.76,2004/5/1
Peru,PER,PEN,8.99,3.49,2004/5/1
Philippines,PHL,PHP,69.0,55.9,2004/5/1
Poland,POL,PLN,6.3,3.87,2004/5/1
Russia,RUS,RUB,42.0,29.0,2004/5/1
Saudi Arabia,SAU,SAR,2.4,3.7502,2004/5/1
Singapore,SGP,SGD,3.3,1.71,2004/5/1
South Africa,ZAF,ZAR,12.4,6.66,2004/5/1
South Korea,KOR,KRW,3200.0,1177.0,2004/5/1
Sri Lanka,LKA,LKR,140.0,99.0,2004/5/1
Turkey,TUR,TRY,3950000.0,1531000.0,2004/5/1
Ukraine,UKR,UAH,7.25,5.3315,2004/5/1
United States,USA,USD,2.9,1.0,2004/5/1
Uruguay,URY,UYU,29.8,29.735,2004/5/1
Venezuela,VEN,VEF,4400.0,2977.0,2004/5/1
Argentina,ARG,ARS,4.75,2.897,2005/6/1
Australia,AUS,AUD,3.25,1.3015,2005/6/1
China,CHN,CNY,10.5,8.2764,2005/6/1
Colombia,COL,COP,6500.0,2327.7,2005/6/1
Costa Rica,CRI,CRC,1130.0,475.3,2005/6/1
Czech Republic,CZE,CZK,56.42,24.5409,2005/6/1
Denmark,DNK,DKK,27.75,6.0647,2005/6/1
Egypt,EGY,EGP,9.0,5.8,2005/6/1
Euro area,EUZ,EUR,2.92,0.814929509,2005/6/1
Hong Kong,HKG,HKD,12.0,7.7807,2005/6/1
Hungary,HUN,HUF,530.0,203.643,2005/6/1
Indonesia,IDN,IDR,14600.0,9545.0,2005/6/1
Japan,JPN,JPY,250.0,106.715,2005/6/1
Malaysia,MYS,MYR,5.25,3.8,2005/6/1
Mexico,MEX,MXN,28.0,10.8675,2005/6/1
New Zealand,NZL,NZD,4.45,1.4023,2005/6/1
Norway,NOR,NOK,39.0,6.4326,2005/6/1
Pakistan,PAK,PKR,130.0,59.62,2005/6/1
Peru,PER,PEN,8.99,3.2546,2005/6/1
Saudi Arabia,SAU,SAR,9.0,3.7501,2005/6/1
